2022-12-19 9:25:20 - PHP Notice:  Undefined index: db_name in C:\xampp\htdocs\php_milwa_trading\system\engine\hmodel.php on line 12
2022-12-19 9:25:20 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\preset.tpl on line 52
2022-12-19 9:25:23 - PHP Notice:  Undefined index: db_name in C:\xampp\htdocs\php_milwa_trading\system\engine\hmodel.php on line 12
2022-12-19 9:25:23 - PHP Notice:  Undefined index: case_id in C:\xampp\htdocs\php_milwa_trading\admin\controller\common\home.php on line 55
2022-12-19 9:25:23 - PHP Notice:  Undefined index: case_id in C:\xampp\htdocs\php_milwa_trading\admin\controller\common\home.php on line 56
2022-12-19 9:25:24 - PHP Notice:  Undefined variable: href_gl_mapping_account in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 68
2022-12-19 9:25:24 - PHP Notice:  Undefined index: gl_mapping_account in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 68
2022-12-19 9:25:24 - PHP Notice:  Undefined variable: href_tool_dashboard in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 231
2022-12-19 9:25:24 - PHP Notice:  Undefined variable: bank_receipts in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\home.tpl on line 258
2022-12-19 9:25:24 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\home.tpl on line 258
2022-12-19 9:25:26 - PHP Notice:  Undefined variable: href_gl_mapping_account in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 68
2022-12-19 9:25:26 - PHP Notice:  Undefined index: gl_mapping_account in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 68
2022-12-19 9:25:26 - PHP Notice:  Undefined variable: href_tool_dashboard in C:\xampp\htdocs\php_milwa_trading\admin\view\template\common\column_left.tpl on line 231
2022-12-19 9:25:26 - PHP Notice:  Undefined index: class in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 18
2022-12-19 9:25:26 - PHP Notice:  Undefined index: class in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 18
2022-12-19 9:25:26 - PHP Notice:  Undefined index: class in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 18
2022-12-19 9:25:26 - PHP Warning:  Use of undefined constant from_date - assumed 'from_date' (this will throw an Error in a future version of PHP) in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 60
2022-12-19 9:25:26 - PHP Warning:  Use of undefined constant to_date - assumed 'to_date' (this will throw an Error in a future version of PHP) in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 66
2022-12-19 9:25:26 - PHP Notice:  Undefined variable: partner_type_id in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 78
2022-12-19 9:25:26 - PHP Notice:  Undefined variable: partner_type_id in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 78
2022-12-19 9:25:26 - PHP Notice:  Undefined variable: partners in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 88
2022-12-19 9:25:26 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 88
2022-12-19 9:25:26 - PHP Notice:  Undefined variable: products in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 100
2022-12-19 9:25:26 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 100
2022-12-19 9:25:26 - PHP Notice:  Undefined variable: warehouses in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 118
2022-12-19 9:25:26 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 118
2022-12-19 9:25:26 - PHP Warning:  Use of undefined constant group_by - assumed 'group_by' (this will throw an Error in a future version of PHP) in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 127
2022-12-19 9:25:26 - PHP Warning:  Use of undefined constant text_document - assumed 'text_document' (this will throw an Error in a future version of PHP) in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 129
2022-12-19 9:25:26 - PHP Warning:  Use of undefined constant text_partner - assumed 'text_partner' (this will throw an Error in a future version of PHP) in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 130
2022-12-19 9:25:26 - PHP Warning:  Use of undefined constant text_warehouse - assumed 'text_warehouse' (this will throw an Error in a future version of PHP) in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 131
2022-12-19 9:25:26 - PHP Warning:  Use of undefined constant text_product - assumed 'text_product' (this will throw an Error in a future version of PHP) in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 132
2022-12-19 9:25:26 - PHP Notice:  Undefined variable: column_right in C:\xampp\htdocs\php_milwa_trading\admin\view\template\report\sale_analysis_report.tpl on line 163
